track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name_x,playlist_name_y,playlist_total_tracks,owner_id,owner_name,total_followers
6nufG7OOI9EvZUXZFqQrAv,Bahaghari,1tXFYQZSAswt4JLB42lpye,Sponge Cola,4RmwRi1cxCCBY5AK1fHphv,180266,2016-08-19,28,0.402,0.481,6,-11.712,1,0.0347,0.0115,1.07e-05,0.156,0.114,169.758,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
3nQtkvFMNkRwxjKVAlGPcG,Torete,2kZThDGZcHl4klYYFk0v8n,Moonstar88,2CZhWHzzLkNUtfONjbKOy1,264202,2001,56,0.358,0.4,2,-8.172,1,0.0269,0.219,0.0,0.0738,0.311,88.239,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
36TmbWEYoNKtAk91ch8aY7,Sorry,6Xx1uQPrAF37dtVMKEmvx5,Cueshé,2BfekCfAeHJHeIEMWXsoXH,282280,2005-06-09,46,0.314,0.611,4,-7.088,1,0.0268,0.238,0.0,0.265,0.437,167.354,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
5fYXiqdpiUanPGjt9Pu4Ev,Tuloy Pa Rin,0vkER0y96fNRbGEs6wLZxR,Neocolours,4g5QiCJTbwBnbsVePFBJrc,272973,2004-10-15,0,0.664,0.538,9,-11.359,1,0.0275,0.503,3.07e-06,0.107,0.562,109.027,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
7K6eh0AbHofKGzQ0qr4iUN,Makapiling Ka,1tXFYQZSAswt4JLB42lpye,Sponge Cola,2yCy36hxBEoYLtzZXmytFk,246880,2009,47,0.538,0.423,11,-9.764,1,0.0732,0.348,0.0,0.0731,0.505,170.053,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
6t0nxG8mNAUo9EvBWwZLr3,Ituloy Mo Lang,3l9mRJIGzW7RrEE2H8Ldvq,Siakol,26fmEI8WKV33rU0s5N9llt,339986,2010-06-01,48,0.381,0.741,9,-5.33,1,0.0318,0.0173,2.49e-06,0.312,0.358,150.337,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
66LwDCA8wJpTNXXonCMplI,Kailan,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,1IalzI8USuu4PB679HVV5C,194333,1994-11-01,38,0.541,0.344,0,-13.718,1,0.0428,0.552,2.12e-05,0.421,0.405,117.162,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
5hagctxftYOW3FREpLevH7,Kaliwete,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,616gVbSZhqmxgSBKqmZZ7T,187173,1998-11-27,37,0.462,0.783,8,-10.813,1,0.0373,0.204,3.24e-06,0.303,0.707,145.388,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
7itFf6G2X8ShiqsAFqLrBn,Torpe,4uYSTU2ckuHB8nfBxURSBj,Hungry Young Poets,7LwQc46M6UEqyMgr7bL8qm,207706,1997-10-24,35,0.592,0.874,7,-7.074,1,0.0354,0.305,0.00615,0.185,0.703,147.055,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
0DdC92EziGIEN6j7kTCKQX,Unti-Unti,3wbCeEPAW6po7J46netxMT,Up Dharma Down,22DhzsGO72BgYKAAXFGsyb,283825,2017-02-14,55,0.629,0.38,2,-8.072,1,0.0323,0.186,0.000407,0.0338,0.655,155.97,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,OPM Bands 90’s - 00's,350,12141413785,Jerome Afable,146315
