track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name,streams,position
1mgYxX4S3g147iVfxsKgtr,First of Summer,18B9mAtwCLjkXGMlBtH1LZ,Urbandub,6e6y1YfaE1r9bW7ov3apYn,213042,2005,46,0.293,0.917,1,-5.436,1,0.142,0.0013800000000000002,0.0,0.249,0.44799999999999995,134.894,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,,
0CR9myb5nh8N8RVjzgMAzt,Toyang,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,2DIpgoeZAbwk3wF1qSDj8v,229626,2004-01-23,43,0.37,0.6679999999999999,9,-9.259,1,0.0863,0.0153,0.0,0.327,0.8220000000000001,163.84400000000002,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,,
6IgGt2kjk4RQX3m1eGCDEG,Huwag Na Lang Kaya,6RV3CKY0UJIPKXyGs85Thm,True Faith,4IDSpVaVdqTNmx5QVlQD0S,210813,2005,29,0.792,0.293,9,-10.732999999999999,1,0.0377,0.8640000000000001,0.00128,0.12300000000000001,0.5479999999999999,102.05,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,,
43JXeqw4pzLs7UGzSSoXNB,Ipagpatawad Mo,7lIVjtsgz0y1oRQFBAVNzq,Mayonnaise,2gnxVWEgenH57AvpIDJuHJ,244440,2006-07-12,0,0.402,0.759,5,-5.892,0,0.0518,0.0476,0.0,0.0476,0.409,145.336,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,,
26V3FYLSJeUO95eygOJP90,Synesthesia (bonus track),7lIVjtsgz0y1oRQFBAVNzq,Mayonnaise,0hSp073YOgEk31JElVnPEU,259066,2010-08-16,0,0.292,0.397,7,-9.161,1,0.0346,0.755,0.0,0.28,0.187,86.491,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,,
2EqdBPn7IFykmJ3Eh7PlKw,Pilit,4iCXhwhRhgWLl57sj9hhbY,Hilera,3OL4V9E5OekKspuQRbZkxL,218746,2006,27,0.52,0.626,7,-6.9639999999999995,1,0.0276,0.135,0.000682,0.0799,0.48200000000000004,134.486,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,,
06dymA4JWKoS6lWzym34ap,Mahirap Magmahal Ng Syota Ng Iba,4iCXhwhRhgWLl57sj9hhbY,Hilera,36zJTya3TD3IX06lWmQIrF,133666,2012,32,0.507,0.772,5,-7.515,1,0.0602,0.217,0.0,0.11,0.9159999999999999,134.29399999999998,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,,
4B3UHhdjB6dkOtjalFQREm,Gusto Ko Lamang Sa Buhay,5cYJYBMg1n71v7cvthr1SO,The Itchyworms,4t3FtECyV1gClHmpBhXSfB,279280,2008-07-28,49,0.505,0.836,2,-6.197,1,0.0389,0.00963,0.0,0.161,0.684,146.108,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,,
3FmJ9Ypk6g8b4IeYBGeBVa,Awit Ng Kabataan,1ZTdxfZTeztyAgKUJVLxAI,Rivermaya,65GkUxR6lYlCiYP4mqyZl1,289146,2001,45,0.4,0.815,7,-6.537999999999999,1,0.0499,0.0394,0.00033,0.0472,0.6729999999999999,133.382,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,,
4aup6xJ0Hmhd0HLKpGBMia,Disney Reprise,6ZwnyHAtqKLBYwRhZePddV,Tanya Markova,777gnuOMKzUTH4ZF7a5xZs,227093,2010-01-01,32,0.6409999999999999,0.758,7,-6.051,1,0.0456,0.222,0.0,0.11699999999999999,0.711,127.795,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,,
4e0rMS4w6Ssim4K4W11J8I,Di Na Mababawi,1tXFYQZSAswt4JLB42lpye,Sponge Cola,2yCy36hxBEoYLtzZXmytFk,193506,2009,52,0.821,0.18600000000000003,11,-14.572000000000001,0,0.0598,0.6629999999999999,0.0,0.0513,0.486,113.096,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,,
534kzobCp5oiuCdc14Gq9I,Linda Blair Reprise,6ZwnyHAtqKLBYwRhZePddV,Tanya Markova,777gnuOMKzUTH4ZF7a5xZs,236986,2010-01-01,26,0.7979999999999999,0.6829999999999999,4,-4.912,1,0.0362,0.389,0.0,0.102,0.925,125.027,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,,
0SzvXb3BAWgTHACbIXGNPa,Halik,4GBFKKuwmZUnAJt6nBal7A,Kamikazee,0HYAcVSUVkfxzHKgHu6DqR,222680,2012,55,0.525,0.9079999999999999,11,-3.33,1,0.0413,0.0139,0.0,0.253,0.628,126.041,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,135076.0,108.0
7l77r7rGqag5Y6gL2Oz6Lx,Martyr Nyebera,4GBFKKuwmZUnAJt6nBal7A,Kamikazee,1QMMXG50CdKyrCsZFMmymj,325280,2006,52,0.29,0.9329999999999999,9,-4.246,1,0.179,0.14800000000000002,1.9e-06,0.146,0.38299999999999995,169.507,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,,
32bk0A84NyGv70LfMsIdh3,Ambisyoso,4GBFKKuwmZUnAJt6nBal7A,Kamikazee,1QMMXG50CdKyrCsZFMmymj,249520,2006,43,0.7240000000000001,0.48700000000000004,2,-11.165999999999999,1,0.0428,0.0195,1.34e-06,0.0475,0.633,127.084,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,,
7L8GQLm6e7cGoMMUAgWCVp,Huling Sayaw,4GBFKKuwmZUnAJt6nBal7A,Kamikazee,0HYAcVSUVkfxzHKgHu6DqR,295413,2012,56,0.474,0.871,1,-4.013,0,0.0405,0.00125,0.0,0.20199999999999999,0.545,137.102,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,81275.0,111.0
1IL4n8SwP1UzmStCeRgkFq,Chiksilog,4GBFKKuwmZUnAJt6nBal7A,Kamikazee,1QMMXG50CdKyrCsZFMmymj,288440,2006,47,0.331,0.645,4,-6.48,1,0.0717,0.00895,0.0,0.43700000000000006,0.5760000000000001,176.206,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,,
5x7c3QiILYNOmfT1pPQDTh,Superhero,2uSQi2dS9WLbu4IlzTPLKr,Rocksteddy,0gPwficDiqcCdDFAjczUEP,206226,2007-01-17,0,0.29,0.872,4,-4.573,1,0.0658,0.0263,0.0,0.175,0.546,163.099,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,,
67TszLuijQNhfIUWGyJQJU,Abot Kamay,1EUmQM6xgUQLUkJVcvSdey,Orange & Lemons,0Hz0xB42mJHnYQ61xjzLhM,157573,2014-03-17,0,0.626,0.679,0,-7.755,1,0.0323,0.486,0.000213,0.257,0.782,136.10399999999998,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,,
6a7IsWdt2DwfB6irqsqkpf,Hanggang Kailan - Umuwi Ka Na Baby,1EUmQM6xgUQLUkJVcvSdey,Orange & Lemons,0Hz0xB42mJHnYQ61xjzLhM,262693,2014-03-17,0,0.556,0.672,0,-5.468999999999999,1,0.0305,0.121,2.77e-06,0.38,0.43,146.438,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,,
1Hmb5BGl39X0HewWAD7FoR,Heaven Knows - This Angel Has Flown,1EUmQM6xgUQLUkJVcvSdey,Orange & Lemons,0Hz0xB42mJHnYQ61xjzLhM,242213,2014-03-17,0,0.586,0.52,4,-8.0,1,0.0272,0.264,4.48e-05,0.102,0.457,93.33,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,,
3HnD67S54LeCVkG4Y7UsT1,Sugod,6baezjDaGyBqrW8xGqw3a5,Sandwich,5xX5o97uvxgKz1bV2STxxn,182960,2008,26,0.522,0.905,7,-4.725,1,0.124,0.0816,0.0009519999999999999,0.11199999999999999,0.902,161.19,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,,
4eMN5OO8jl6NU0AAPHszYy,Masilungan,6baezjDaGyBqrW8xGqw3a5,Sandwich,3ZujoEj0DJm7ELsqJnU3nX,279826,2006-02-17,0,0.551,0.473,4,-11.288,1,0.026000000000000002,0.29600000000000004,0.299,0.134,0.423,109.777,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,,
4zSS4K88KCyjqCzbinmJPw,Betamax,6baezjDaGyBqrW8xGqw3a5,Sandwich,5DzbU8g7NbVAOVYiK5wiaS,247942,2008,38,0.419,0.7340000000000001,5,-7.659,1,0.0562,0.00185,7.42e-06,0.213,0.606,107.245,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,,
3ljSgbje1smfadZ2vdeQF2,Akap,6MXu7TWZnmykwkXiRJeUMh,Imago,3ZujoEj0DJm7ELsqJnU3nX,336640,2006-02-17,0,0.221,0.473,9,-8.497,1,0.0301,0.39899999999999997,3.46e-06,0.12,0.17600000000000002,78.743,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,,
1LxBThEXAGZMS6UnBWvex5,Indak,3wbCeEPAW6po7J46netxMT,Up Dharma Down,4SjshYHT8OeSHB6zun2Hxx,235121,2012-12-07,49,0.794,0.252,2,-14.263,1,0.0546,0.35,2.71e-06,0.0825,0.718,77.005,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,,
1jImST6hhs1EV45p78RBpM,Stay,6Xx1uQPrAF37dtVMKEmvx5,Cueshé,2BfekCfAeHJHeIEMWXsoXH,235706,2005-06-09,56,0.306,0.494,9,-7.747999999999999,1,0.0287,0.0211,0.0,0.0972,0.161,157.224,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,,
36YiKDwEfvpZveFNbrAOpO,Walang Kadala Dala,6baezjDaGyBqrW8xGqw3a5,Sandwich,7ukLSeNuhI2AuNvAo8hxJK,260813,2006-02-26,31,0.326,0.919,9,-4.95,0,0.0698,8.379999999999999e-05,0.00028700000000000004,0.095,0.501,158.756,46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90’s - 00's,,
